index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,Bacteria;Firmicutes;Bacilli;RF39;,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;,Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;,Bacteria;;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;,Bacteria;Firmicutes;Clostridia;Oscillospirales;,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae,Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae,Bacteria;Firmicutes;;;,Bacteria;Firmicutes;Bacilli;;,Bacteria;Bacteroidota;Bacteroidia;;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae,Bacteria;Firmicutes;Clostridia;;,Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae,;;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis,Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae,Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;,Bacteria;Firmicutes;Bacilli;Lactobacillales;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_284_B,1395.0,28.0,1957.0,7446.0,7557.0,898.0,372.0,61.0,397.0,52.0,167.0,7.0,490.0,0.0,0.0,28.0,112.0,3.0,187.0,15.0,1.0,0.0,0.0,47.0,0.0,0.0,8.0,16.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,115.0,44.0,0.0,0.0,284.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_285_B,1911.0,80.0,609.0,6998.0,6220.0,1006.0,471.0,130.0,559.0,31.0,171.0,19.0,717.0,0.0,0.0,37.0,149.0,0.0,780.0,44.0,0.0,1.0,0.0,58.0,0.0,0.0,13.0,58.0,17.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,49.0,0.0,0.0,81.0,109.0,2.0,0.0,285.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_286_B,2273.0,43.0,3173.0,5017.0,5829.0,509.0,546.0,114.0,406.0,29.0,61.0,16.0,749.0,9.0,0.0,4.0,232.0,0.0,432.0,30.0,0.0,1.0,0.0,38.0,2.0,0.0,16.0,12.0,21.0,0.0,0.0,0.0,58.0,0.0,5.0,0.0,15.0,10.0,29.0,0.0,0.0,59.0,187.0,3.0,0.0,286.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_287_B,3105.0,113.0,6865.0,8190.0,10406.0,1333.0,749.0,175.0,708.0,58.0,385.0,16.0,1445.0,13.0,0.0,105.0,163.0,0.0,371.0,68.0,0.0,0.0,0.0,36.0,0.0,0.0,16.0,13.0,45.0,2.0,4.0,0.0,63.0,0.0,9.0,0.0,5.0,0.0,43.0,0.0,0.0,137.0,180.0,0.0,0.0,287.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_288_B,3093.0,64.0,38.0,8262.0,1628.0,870.0,776.0,66.0,691.0,50.0,210.0,22.0,1101.0,0.0,0.0,5.0,203.0,0.0,222.0,50.0,0.0,0.0,0.0,31.0,0.0,0.0,13.0,14.0,2.0,9.0,19.0,0.0,43.0,0.0,4.0,2.0,0.0,0.0,47.0,0.0,0.0,24.0,172.0,0.0,0.0,288.0,WT,M,Sham,Vehicle,Baseline,PAN
Villapol_289_B,1555.0,33.0,3958.0,1987.0,10921.0,253.0,211.0,43.0,202.0,12.0,128.0,7.0,199.0,68.0,0.0,5.0,27.0,0.0,485.0,7.0,0.0,0.0,0.0,164.0,0.0,342.0,0.0,4.0,91.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,60.0,0.0,0.0,289.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_290_B,1421.0,14.0,4587.0,679.0,9257.0,94.0,257.0,49.0,99.0,7.0,33.0,0.0,374.0,116.0,0.0,0.0,28.0,0.0,273.0,15.0,0.0,0.0,0.0,57.0,0.0,426.0,11.0,16.0,129.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,290.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_291_B,2147.0,14.0,2738.0,1390.0,9376.0,172.0,581.0,118.0,231.0,10.0,174.0,3.0,611.0,253.0,0.0,4.0,76.0,0.0,548.0,31.0,0.0,0.0,0.0,4.0,0.0,404.0,9.0,29.0,239.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,55.0,0.0,0.0,291.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_292_B,1981.0,26.0,3990.0,2873.0,7948.0,243.0,393.0,140.0,253.0,17.0,22.0,0.0,381.0,152.0,0.0,10.0,132.0,0.0,627.0,48.0,1.0,1.0,0.0,24.0,0.0,656.0,12.0,44.0,126.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,15.0,0.0,0.0,292.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_293_B,2644.0,34.0,2752.0,1338.0,13112.0,148.0,369.0,85.0,80.0,18.0,420.0,3.0,561.0,205.0,0.0,0.0,36.0,0.0,185.0,24.0,0.0,3.0,0.0,89.0,0.0,607.0,8.0,14.0,159.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,293.0,WT,F,Sham,Vehicle,Baseline,PAN
Villapol_35d_234,2513.0,39.0,3843.0,2156.0,7962.0,396.0,338.0,96.0,205.0,17.0,77.0,4.0,661.0,117.0,0.0,0.0,141.0,0.0,529.0,13.0,2.0,0.0,0.0,0.0,0.0,112.0,5.0,4.0,70.0,0.0,4.0,0.0,35.0,0.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,82.0,0.0,0.0,234.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_236,730.0,61.0,840.0,2879.0,4048.0,320.0,201.0,29.0,274.0,12.0,45.0,4.0,404.0,155.0,0.0,6.0,85.0,0.0,61.0,64.0,4.0,0.0,0.0,0.0,0.0,255.0,0.0,5.0,27.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,20.0,0.0,1.0,236.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_237,3366.0,36.0,1478.0,2627.0,7728.0,493.0,548.0,61.0,265.0,27.0,276.0,0.0,718.0,469.0,0.0,41.0,111.0,0.0,543.0,11.0,0.0,0.0,0.0,4.0,0.0,467.0,14.0,4.0,77.0,0.0,11.0,0.0,259.0,0.0,12.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,185.0,0.0,0.0,237.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_238,2092.0,30.0,3691.0,5855.0,4937.0,892.0,674.0,59.0,579.0,35.0,149.0,7.0,837.0,186.0,0.0,18.0,179.0,0.0,150.0,7.0,0.0,1.0,0.0,0.0,0.0,320.0,6.0,0.0,42.0,1.0,7.0,0.0,59.0,0.0,6.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,30.0,0.0,0.0,238.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_239,3057.0,90.0,1547.0,2859.0,8095.0,368.0,1531.0,73.0,513.0,21.0,384.0,7.0,1281.0,13.0,0.0,3.0,208.0,0.0,124.0,16.0,3.0,3.0,0.0,66.0,0.0,191.0,13.0,12.0,174.0,0.0,5.0,0.0,83.0,2.0,8.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,12.0,0.0,0.0,239.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_240,2776.0,2.0,1803.0,4257.0,7181.0,428.0,581.0,65.0,406.0,19.0,79.0,7.0,963.0,8.0,0.0,13.0,250.0,0.0,122.0,10.0,1.0,0.0,0.0,52.0,0.0,166.0,8.0,15.0,132.0,0.0,5.0,0.0,165.0,0.0,6.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,61.0,0.0,0.0,240.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_241,3845.0,43.0,3475.0,4985.0,5707.0,570.0,1050.0,117.0,587.0,36.0,232.0,8.0,1365.0,9.0,0.0,23.0,360.0,1.0,158.0,66.0,0.0,0.0,0.0,69.0,0.0,129.0,22.0,29.0,107.0,0.0,7.0,0.0,301.0,0.0,7.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,6.0,0.0,0.0,241.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_242,3054.0,20.0,1903.0,3426.0,8301.0,362.0,536.0,112.0,346.0,20.0,136.0,7.0,1044.0,6.0,0.0,0.0,158.0,0.0,563.0,46.0,1.0,1.0,0.0,37.0,1.0,328.0,13.0,8.0,189.0,0.0,11.0,2.0,511.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,236.0,0.0,0.0,242.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_243,4481.0,164.0,559.0,4722.0,3477.0,502.0,1124.0,156.0,776.0,8.0,446.0,14.0,1307.0,19.0,0.0,0.0,205.0,0.0,928.0,26.0,0.0,1.0,0.0,0.0,0.0,211.0,16.0,22.0,72.0,0.0,16.0,0.0,223.0,0.0,5.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,26.0,0.0,0.0,243.0,WT,M,CCI,PAN,35d,PAN
Villapol_35d_244,990.0,0.0,2672.0,1085.0,3216.0,111.0,304.0,65.0,127.0,0.0,34.0,0.0,369.0,0.0,0.0,1.0,66.0,0.0,61.0,22.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,12.0,31.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_245,2319.0,0.0,4437.0,3427.0,6938.0,303.0,783.0,139.0,402.0,26.0,49.0,6.0,888.0,0.0,0.0,3.0,153.0,0.0,485.0,41.0,0.0,0.0,0.0,24.0,1.0,0.0,9.0,76.0,107.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,245.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_246,2057.0,0.0,6610.0,2647.0,6766.0,278.0,802.0,96.0,424.0,21.0,10.0,3.0,875.0,0.0,0.0,0.0,127.0,0.0,292.0,31.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,66.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,78.0,0.0,0.0,246.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_247,3334.0,0.0,6259.0,4571.0,4479.0,527.0,939.0,95.0,624.0,43.0,71.0,16.0,624.0,0.0,0.0,0.0,125.0,0.0,18.0,21.0,4.0,0.0,0.0,15.0,0.0,0.0,13.0,85.0,56.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_248,2728.0,32.0,2540.0,2826.0,7433.0,300.0,689.0,121.0,414.0,13.0,89.0,8.0,1096.0,181.0,0.0,21.0,234.0,0.0,280.0,36.0,0.0,4.0,0.0,22.0,0.0,212.0,6.0,59.0,94.0,0.0,4.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,249.0,4.0,0.0,0.0,248.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_249,2863.0,60.0,2805.0,2139.0,7325.0,136.0,473.0,88.0,301.0,11.0,312.0,0.0,1522.0,454.0,0.0,0.0,219.0,0.0,786.0,4.0,0.0,0.0,0.0,32.0,0.0,648.0,8.0,35.0,233.0,4.0,9.0,0.0,39.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,692.0,8.0,0.0,0.0,249.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_250,2222.0,49.0,2190.0,4543.0,8082.0,402.0,607.0,100.0,534.0,48.0,281.0,7.0,673.0,317.0,0.0,9.0,146.0,0.0,20.0,4.0,0.0,0.0,0.0,18.0,0.0,595.0,15.0,86.0,193.0,2.0,5.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,479.0,5.0,0.0,0.0,250.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_251,3522.0,44.0,3930.0,2837.0,5741.0,326.0,1187.0,71.0,235.0,11.0,128.0,9.0,1622.0,309.0,0.0,10.0,274.0,0.0,932.0,29.0,0.0,0.0,0.0,26.0,1.0,548.0,4.0,125.0,102.0,0.0,12.0,0.0,64.0,0.0,6.0,5.0,0.0,0.0,17.0,4.0,0.0,246.0,144.0,0.0,0.0,251.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_252,2410.0,48.0,2480.0,2938.0,7674.0,329.0,616.0,151.0,519.0,24.0,315.0,6.0,1392.0,294.0,0.0,21.0,131.0,0.0,842.0,35.0,3.0,1.0,0.0,43.0,0.0,476.0,6.0,61.0,273.0,0.0,5.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,652.0,6.0,0.0,0.0,252.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_253,2077.0,17.0,2814.0,4288.0,7277.0,593.0,384.0,83.0,670.0,33.0,127.0,9.0,1066.0,108.0,0.0,1.0,133.0,0.0,30.0,3.0,0.0,2.0,2.0,5.0,0.0,272.0,15.0,69.0,228.0,0.0,5.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,743.0,14.0,0.0,0.0,253.0,WT,F,CCI,PAN,35d,PAN
Villapol_35d_254,3503.0,0.0,1357.0,4243.0,4316.0,537.0,833.0,64.0,424.0,20.0,411.0,14.0,472.0,109.0,0.0,8.0,131.0,0.0,610.0,42.0,0.0,0.0,0.0,0.0,0.0,165.0,6.0,19.0,24.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,51.0,0.0,0.0,254.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_255,5339.0,60.0,2489.0,2763.0,5848.0,441.0,934.0,93.0,335.0,11.0,142.0,7.0,498.0,60.0,0.0,0.0,165.0,0.0,655.0,86.0,0.0,2.0,0.0,0.0,0.0,164.0,8.0,0.0,111.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,141.0,0.0,0.0,255.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_256,4508.0,115.0,1674.0,8866.0,7063.0,1447.0,834.0,80.0,1045.0,91.0,287.0,22.0,1219.0,200.0,0.0,14.0,213.0,0.0,893.0,14.0,0.0,2.0,0.0,0.0,2.0,223.0,9.0,15.0,42.0,2.0,0.0,0.0,98.0,0.0,15.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,136.0,0.0,0.0,256.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_257,3518.0,69.0,41.0,7314.0,4640.0,927.0,2032.0,101.0,851.0,42.0,400.0,10.0,1600.0,212.0,0.0,1.0,363.0,0.0,767.0,10.0,0.0,1.0,0.0,5.0,1.0,241.0,17.0,16.0,10.0,3.0,0.0,0.0,262.0,0.0,11.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,9.0,0.0,0.0,257.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_258,1645.0,10.0,3390.0,2155.0,8056.0,276.0,612.0,35.0,126.0,15.0,169.0,5.0,276.0,0.0,0.0,0.0,140.0,0.0,346.0,7.0,0.0,0.0,0.0,6.0,0.0,39.0,3.0,11.0,73.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,258.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_259,2511.0,7.0,1466.0,1875.0,10277.0,324.0,493.0,69.0,362.0,4.0,161.0,5.0,708.0,19.0,0.0,0.0,83.0,0.0,610.0,0.0,0.0,0.0,0.0,77.0,0.0,43.0,7.0,8.0,108.0,0.0,10.0,0.0,111.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,84.0,0.0,0.0,259.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_261,2043.0,73.0,570.0,2752.0,9288.0,277.0,465.0,68.0,535.0,16.0,95.0,5.0,906.0,23.0,0.0,4.0,94.0,0.0,475.0,6.0,0.0,1.0,0.0,33.0,0.0,17.0,15.0,17.0,67.0,0.0,10.0,0.0,163.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,63.0,0.0,0.0,261.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_262,1687.0,0.0,2147.0,1088.0,11399.0,132.0,222.0,106.0,129.0,16.0,29.0,0.0,711.0,8.0,0.0,0.0,113.0,0.0,160.0,0.0,0.0,0.0,0.0,87.0,0.0,23.0,5.0,28.0,131.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,34.0,0.0,0.0,262.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_263,3767.0,38.0,1118.0,2376.0,11865.0,402.0,715.0,105.0,330.0,12.0,117.0,3.0,822.0,14.0,0.0,2.0,127.0,0.0,526.0,9.0,3.0,1.0,0.0,208.0,1.0,30.0,14.0,19.0,102.0,0.0,7.0,0.0,354.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,155.0,0.0,0.0,263.0,WT,M,CCI,Vehicle,35d,PAN
Villapol_35d_264,3402.0,0.0,2379.0,6146.0,8950.0,417.0,443.0,49.0,830.0,40.0,70.0,9.0,926.0,0.0,0.0,0.0,244.0,1.0,0.0,18.0,33.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,109.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_265,2747.0,16.0,1165.0,3338.0,9169.0,367.0,381.0,146.0,544.0,33.0,81.0,0.0,853.0,17.0,0.0,33.0,149.0,0.0,201.0,6.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,13.0,241.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,17.0,0.0,0.0,265.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_266,2145.0,34.0,4117.0,3928.0,10093.0,464.0,136.0,80.0,556.0,21.0,12.0,3.0,505.0,104.0,0.0,0.0,71.0,0.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0,204.0,2.0,3.0,292.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,8.0,16.0,0.0,0.0,266.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_267,3080.0,0.0,9591.0,3192.0,5464.0,325.0,1152.0,78.0,305.0,25.0,54.0,6.0,1042.0,0.0,0.0,72.0,232.0,0.0,664.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,88.0,0.0,8.0,0.0,36.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,267.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_268,1037.0,0.0,1511.0,1406.0,4116.0,107.0,184.0,58.0,138.0,3.0,16.0,0.0,354.0,11.0,0.0,36.0,58.0,0.0,73.0,11.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,11.0,76.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,268.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_269,2221.0,0.0,3533.0,880.0,10130.0,122.0,192.0,99.0,159.0,11.0,26.0,0.0,305.0,459.0,0.0,24.0,71.0,0.0,97.0,7.0,0.0,0.0,0.0,7.0,0.0,634.0,14.0,8.0,145.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,269.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_270,2920.0,8.0,2580.0,3162.0,10411.0,285.0,366.0,114.0,461.0,32.0,60.0,0.0,661.0,378.0,0.0,17.0,140.0,0.0,197.0,35.0,1.0,0.0,0.0,10.0,0.0,439.0,9.0,16.0,64.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,23.0,0.0,0.0,270.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_271,2444.0,34.0,4684.0,1101.0,10022.0,181.0,342.0,63.0,301.0,13.0,323.0,3.0,442.0,497.0,0.0,16.0,92.0,0.0,108.0,16.0,0.0,0.0,0.0,9.0,0.0,667.0,4.0,8.0,104.0,0.0,9.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_272,1682.0,11.0,1745.0,1641.0,9193.0,161.0,146.0,84.0,404.0,8.0,9.0,0.0,384.0,313.0,0.0,37.0,39.0,0.0,103.0,13.0,0.0,0.0,0.0,7.0,2.0,353.0,10.0,0.0,80.0,0.0,4.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,43.0,0.0,0.0,272.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_273,1977.0,15.0,1082.0,1378.0,8694.0,175.0,234.0,88.0,399.0,7.0,47.0,3.0,614.0,396.0,0.0,2.0,81.0,0.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,436.0,5.0,0.0,114.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,273.0,WT,F,CCI,Vehicle,35d,PAN
Villapol_35d_274,3734.0,10.0,3869.0,4999.0,8412.0,729.0,426.0,98.0,401.0,20.0,59.0,18.0,1345.0,15.0,0.0,11.0,233.0,0.0,158.0,13.0,3.0,0.0,0.0,70.0,1.0,12.0,14.0,2.0,9.0,0.0,3.0,0.0,109.0,0.0,5.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,33.0,0.0,0.0,274.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_275,1584.0,10.0,862.0,4267.0,10293.0,484.0,395.0,69.0,354.0,19.0,118.0,8.0,1411.0,10.0,0.0,1.0,148.0,0.0,0.0,5.0,0.0,0.0,0.0,104.0,1.0,37.0,12.0,0.0,8.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,27.0,1.0,0.0,275.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_276,1821.0,33.0,386.0,4796.0,7013.0,704.0,689.0,104.0,483.0,48.0,187.0,8.0,1466.0,27.0,0.0,66.0,250.0,0.0,77.0,24.0,0.0,1.0,0.0,6.0,0.0,0.0,17.0,25.0,10.0,2.0,7.0,2.0,277.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,276.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_277,2044.0,54.0,345.0,4781.0,9233.0,580.0,630.0,99.0,462.0,41.0,285.0,12.0,1328.0,51.0,0.0,57.0,185.0,1.0,57.0,21.0,0.0,1.0,0.0,24.0,0.0,8.0,13.0,20.0,11.0,0.0,11.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,2.0,0.0,0.0,277.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_278,5286.0,17.0,187.0,8278.0,2981.0,992.0,308.0,37.0,723.0,43.0,157.0,18.0,765.0,0.0,0.0,91.0,80.0,0.0,33.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,6.0,5.0,0.0,3.0,8.0,0.0,25.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,0.0,0.0,278.0,WT,M,Sham,PAN,35d,PAN
Villapol_35d_279,2535.0,9.0,4327.0,1900.0,8624.0,219.0,222.0,69.0,152.0,4.0,317.0,0.0,936.0,707.0,0.0,5.0,216.0,0.0,9.0,22.0,1.0,0.0,0.0,38.0,0.0,920.0,10.0,5.0,103.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,55.0,46.0,0.0,0.0,279.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_280,5549.0,40.0,2362.0,3737.0,8616.0,840.0,397.0,80.0,260.0,26.0,347.0,16.0,469.0,707.0,0.0,0.0,58.0,0.0,6.0,44.0,1.0,0.0,0.0,51.0,0.0,569.0,7.0,23.0,173.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.0,0.0,0.0,98.0,119.0,0.0,0.0,280.0,WT,F,Sham,PAN,35d,PAN
Villapol_35d_281,3439.0,211.0,1538.0,5651.0,7128.0,853.0,618.0,56.0,671.0,27.0,350.0,7.0,1099.0,607.0,0.0,3.0,96.0,3.0,24.0,39.0,0.0,1.0,0.0,26.0,0.0,627.0,5.0,0.0,96.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,37.0,82.0,0.0,0.0,281.0,WT,F,Sham,PAN,35d,PAN
